iter	Passed	Remaining
1220	25735735	16419441
1221	25753434	16396212
1222	25773862	16374726
1223	25794360	16353287
1224	25814989	16331931
1225	25838635	16312482
1226	25856983	16289689
1227	25876349	16267542
1228	25895709	16245396
1229	25915513	16223532
1230	25934421	16201112
1231	25952851	16178401
1232	25974679	16157809
1233	25992410	16134673
1234	26013613	16113695
1235	26037030	16094086
1236	26056384	16071965
1237	26074726	16049225
1238	26096829	16028803
1239	26118127	16007884
1240	26137076	15985528
1241	26160607	15965974
1242	26182885	15945651
1243	26202960	15923985
1244	26222681	15902107
1245	26243628	15880976
1246	26263473	15859178
1247	26285026	15838413
1248	26304544	15816423
1249	26321781	15793069
1250	26342618	15771879
1251	26363208	15750542
1252	26383293	15728906
1253	26405115	15708306
1254	26424853	15686467
1255	26439810	15661798
1256	26458707	15639474
1257	26480297	15618744
1258	26500779	15597361
1259	26525477	15578454
1260	26545171	15556607
1261	26566904	15535955
1262	26588550	15515251
1263	26609229	15493981
1264	26628176	15471707
1265	26649430	15450775
1266	26671631	15430391
1267	26691651	15408744
1268	26709598	15385907
1269	26729357	15364118
1270	26752021	15344000
1271	26771442	15322020
1272	26791075	15300166
1273	26808815	15277237
1274	26826576	15254327
1275	26843841	15231144
1276	26863943	15209578
1277	26882649	15187224
1278	26905300	15167100
1279	26923938	15144715
1280	26943027	15122589
1281	26960039	15099304
1282	26979597	15077452
1283	26998316	15055135
1284	27017889	15033300
1285	27035811	15010551
1286	27056231	14989194
1287	27072845	14965734
1288	27095552	14945645
1289	27116993	14924856
1290	27139844	14904841
1291	27158510	14882527
1292	27178920	14861172
1293	27199730	14840038
1294	27222542	14819994
1295	27245552	14800053
1296	27265065	14778211
1297	27289542	14759059
1298	27308632	14736990
1299	27328739	14715474
1300	27351726	14695508
1301	27374456	14675399
1302	27395958	14654630
1303	27415686	14632912
1304	27435171	14611068
1305	27456014	14589949
1306	27477852	14569358
1307	27500392	14549137
1308	27520833	14527804
1309	27539895	14505746
1310	27560854	14484690
1311	27577832	14461546
1312	27599006	14440607
1313	27620761	14419971
1314	27642483	14399316
1315	27661964	14377495
1316	27679008	14354413
1317	27699011	14332872
1318	27716985	14310285
1319	27738256	14289404
1320	27757884	14267678
1321	27778974	14246705
1322	27798537	14224950
1323	27819034	14203676
1324	27840241	14182764
1325	27860269	14161253
1326	27878721	14138944
1327	27896694	14116399
1328	27915021	14094040
1329	27932315	14071166
1330	27953089	14050050
1331	27971216	14027607
1332	27991905	14006452
1333	28010226	13984115
1334	28029227	13962124
1335	28048619	13940331
1336	28067841	13918458
1337	28089547	13897817
1338	28108995	13876061
1339	28126424	13853313
1340	28145430	13831348
1341	28162941	13808655
1342	28188816	13790061
1343	28208363	13768367
1344	28230261	13747822
1345	28252609	13727493
1346	28272411	13705927
1347	28294090	13685272
1348	28317748	13665570
1349	28337449	13643957
1350	28361183	13624284
1351	28380475	13602476
1352	28399247	13580423
1353	28422458	13560493
1354	28443341	13539450
1355	28464793	13518677
1356	28486001	13497788
1357	28506740	13476676
1358	28524209	13454023
1359	28544701	13432800
1360	28560926	13409575
